product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Мука пшеничная,3108,35,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",1995-03-03,2019-04-04,On Backorder
2,Куриные ножки,7138,721,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2014-01-26,2020-03-16,Sold
3,Новошахтинская,6205,158,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-03-13,2029-03-01,In Stock
5,Сметана,370,532,Молочные продукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2010-08-10,2018-01-17,Cancelled
6,Каша из пшена,1389,945,Бакалея,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1994-09-06,2021-01-01,Available for Pickup
7,Кабачок,674,206,Овощи,Подходит для использования в диетических программах для похудения.,2017-06-05,2018-06-17,Pending
8,Масала чай,6904,902,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2011-03-04,2025-11-01,Awaiting Payment
11,Вяленое мясо,3543,843,Мясо,Способствует поддержанию нормальной микрофлоры кишечника.,2007-05-03,2009-03-02,Available for Pickup
12,Мускатный орех молотый,5583,206,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2008-01-13,2010-04-19,Awaiting Payment
13,Каша из дробленной овсянки,5860,861,Бакалея,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2012-06-11,2025-03-01,Returned
14,Брокколи,7366,414,Овощи,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1992-03-17,1994-02-03,In Stock
15,Ряженка,6946,595,Молочные продукты,Помогает улучшить когнитивные функции и память.,2012-02-06,2023-01-22,Available for Pickup
16,Ласси,4470,434,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2007-05-07,2015-10-18,Awaiting Payment
18,Чеддер,2367,61,Молочные продукты,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1990-03-19,2020-04-01,Sold
19,Кокосовая вода,5251,231,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2007-04-01,2016-01-03,Sold
20,Телятина,2773,857,Мясо,"Отличается приятным ароматом, который усиливает аппетит.",2008-04-02,2029-07-09,Delivered
22,Чечевица,5992,427,Овощи,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1994-10-16,2016-02-20,Temporarily Unavailable
23,Пиво безалкогольное,1046,125,Напитки,Придает блюдам особую нежность и насыщенность.,1995-02-04,2029-03-17,Delivered
24,Бекон,1082,319,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2006-02-05,2012-04-10,Awaiting Payment
25,Свекла,761,340,Овощи,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2013-01-12,2020-02-03,Awaiting Review
26,Мандарин,1813,71,Фрукты,Отличается удобством использования и экономичностью в расходе.,2017-07-13,2022-05-04,Sold
27,Зефир,1332,645,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2000-04-03,2028-05-06,Refunded
28,Камут,6402,684,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1991-02-06,2016-04-10,Pending
29,Йогурт,2047,498,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2022-01-03,2027-05-08,Refunded
30,Манго,8538,342,Фрукты,Помогает поддерживать нормальный уровень сахара в крови.,2001-02-02,2030-03-02,In Stock
32,Творог,248,453,Молочные продукты,Помогает поддерживать нормальный уровень энергии и выносливости.,2014-04-04,2020-09-06,Available for Pickup
33,Скалки,3671,34,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,2022-03-21,2026-01-17,Cancelled
36,Папайя,7637,573,Фрукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2019-01-05,2022-06-02,Temporarily Unavailable
37,Свекла,8086,71,Овощи,Часто рекомендуется врачами-диетологами как часть здорового питания.,2006-01-17,2029-07-11,Cancelled
38,Корица молотая,9729,79,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1995-02-01,2020-02-01,Awaiting Review
39,Пакеты бумажные,894,541,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2019-05-01,2028-04-15,Refunded
40,Сорго,2359,372,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",1996-05-03,2016-01-19,Available for Pickup
41,Адлеркурортная,7506,777,Напитки,Поддерживает иммунитет и общее состояние здоровья.,1990-02-01,2030-01-20,Temporarily Unavailable
42,Каша из теффа,5032,845,Бакалея,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2002-04-10,2013-07-08,On Backorder
43,Партенит,7439,959,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2000-03-03,2028-03-03,Available for Pickup
45,Adrenaline Rush,8323,552,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2003-06-08,2016-08-05,Available for Pickup
46,Каша из дробленной ржаной крупы,159,710,Бакалея,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2008-02-01,2024-01-26,Temporarily Unavailable
47,Нижнесергиевская,5797,100,Напитки,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",1990-01-12,2012-06-01,Available for Pickup
48,Киви,4677,476,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",2019-02-04,2028-12-15,Temporarily Unavailable
49,Пармезан,3876,3,Молочные продукты,Помогает поддерживать нормальный уровень сахара в крови.,2001-03-04,2003-03-27,Pending
50,Шницель,3385,379,Мясо,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2013-01-02,2017-05-11,Cancelled
51,Нектарин,3931,655,Фрукты,Помогает поддерживать нормальный уровень гемоглобина в крови.,2014-03-01,2023-04-18,Temporarily Unavailable
52,Абрикос,8315,983,Фрукты,Служит основой для создания множества кулинарных шедевров.,1994-09-11,2010-02-01,Out of Stock
53,Пакеты для благотворительного мероприятия,6528,239,Товары для дома,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2012-04-09,2030-03-07,Out of Stock
54,Сэндвичи с ветчиной,9264,90,Мясо,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2015-04-16,2020-02-17,Temporarily Unavailable
55,Корейка,1064,427,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2007-01-05,2018-05-05,Awaiting Payment
56,Пастрома,9868,875,Мясо,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2022-08-16,2024-06-02,Out of Stock
57,Кабачок,3733,863,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2000-08-03,2018-07-12,Awaiting Review
58,Нектарин,7370,993,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-07-03,2022-05-04,Out of Stock
59,Крымская,5987,162,Напитки,Подходит для использования в специализированных диетах и лечебных программах.,1999-02-10,2007-02-26,Out of Stock
60,Озеро Медвежье,2531,214,Напитки,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2002-06-03,2025-01-25,New
61,Варенец,869,36,Молочные продукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2003-01-24,2005-02-27,In Stock
64,Пахта,5267,350,Молочные продукты,"Отличается приятным ароматом, который усиливает аппетит.",2016-06-01,2027-04-07,Awaiting Review
65,Фенхель,5278,631,Овощи,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1995-05-01,2027-01-04,Refunded
66,Кольраби,6467,374,Овощи,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2022-04-05,2022-05-02,Temporarily Unavailable
67,Тан,4395,611,Молочные продукты,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2020-05-02,2030-03-25,In Stock
68,Сок апельсиновый,7491,511,Напитки,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2015-02-25,2020-04-01,Awaiting Payment
69,Пакеты для выставки,3239,547,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2009-05-05,2024-05-04,Pending
70,Брынза,5036,557,Молочные продукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2001-02-16,2024-03-07,Backorder
71,Кефир,347,700,Молочные продукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2009-01-06,2020-01-16,Temporarily Unavailable
72,Тарелки глубокие,9698,142,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",2021-02-04,2025-05-10,Refunded
73,Сочи-Адлер,4379,623,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",1990-01-06,1995-05-02,Refunded
74,Студень,3186,954,Мясо,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2004-06-13,2026-08-12,New
75,Мацони,4892,592,Молочные продукты,Прошел все необходимые сертификации и соответствует международным стандартам.,2012-01-06,2024-07-04,Awaiting Payment
76,Оленина,2182,824,Мясо,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2014-09-11,2018-10-12,Delivered
77,Сахар,122,104,Бакалея,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1993-02-01,2004-08-04,New
78,Каймак,3629,835,Молочные продукты,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2010-05-03,2020-01-03,New
79,Чеснок,9721,518,Овощи,Является важным компонентом рациона для поддержания гормонального баланса.,1991-02-01,2001-02-26,Pending
80,Кунжут черный,6902,404,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2008-11-10,2019-04-17,Backorder
81,Адыгейский сыр,1222,421,Молочные продукты,Является неотъемлемой частью рациона многих народов мира.,2019-09-07,2029-03-14,Available for Pickup
82,Форосская,6298,433,Напитки,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2017-08-15,2019-06-19,Available for Pickup
83,Помидор,1806,197,Овощи,"Помогает улучшить состояние волос, ногтей и кожи.",2012-01-01,2024-04-02,Temporarily Unavailable
84,Клюква,5374,896,Фрукты,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2004-02-05,2030-06-04,Sold
85,Каша из дробленой перловки,681,437,Бакалея,Подходит для использования в специализированных диетах и лечебных программах.,2005-01-05,2010-02-26,Sold
86,Лимон,399,203,Фрукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1999-01-13,2007-03-08,Sold
87,Киноа,8749,253,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,1996-05-02,2028-04-16,Sold
88,Матча латте,1118,745,Напитки,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1996-01-07,2029-04-06,In Stock
89,Мешки для мусора,9647,30,Товары для дома,Является важным элементом спортивного питания для восстановления после тренировок.,2012-04-04,2019-01-15,Sold
90,Курт,5210,374,Молочные продукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2021-07-03,2023-05-02,Refunded
91,Мытищинская,7164,317,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1991-08-01,1992-04-24,Temporarily Unavailable
92,Айва,1766,10,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,1991-06-05,1994-02-17,Backorder
93,Брюква,3508,429,Овощи,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1993-07-02,2018-01-01,Available for Pickup
94,Сушеные грибы,2550,340,Бакалея,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",1990-01-08,2026-04-02,Temporarily Unavailable
95,Персик,7965,482,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2006-04-05,2017-01-04,In Stock
96,Орловская,6897,497,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2005-07-16,2020-04-01,Temporarily Unavailable
97,Авокадо,5354,635,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2016-03-03,2018-03-18,Available for Pickup
98,Сливки,856,586,Молочные продукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2020-07-12,2025-03-11,Refunded
99,Тартар,7743,167,Мясо,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2005-02-04,2020-08-07,Sold
100,Катык,5447,624,Молочные продукты,Подходит для использования в диетических программах для похудения.,2019-02-02,2030-01-01,On Backorder
101,Ополаскиватель для полости рта,6383,964,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1996-01-01,2000-05-01,In Stock
102,Мыло твердое,201,29,Товары для дома,Рекомендуется для ежедневного потребления в умеренных количествах.,2013-01-13,2019-02-01,Backorder
103,Имбирь молотый,4132,25,Бакалея,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2015-01-01,2028-02-24,Out of Stock
104,Ройбос,2174,706,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",1990-02-01,2005-01-13,Delivered
105,Пакеты для детских вещей,9994,279,Товары для дома,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1991-03-03,2010-02-18,Returned
106,Утка,2551,241,Мясо,Отличается хорошей совместимостью с другими продуктами питания.,2005-09-03,2006-08-09,Returned
107,Грейпфрут,1544,610,Фрукты,Способствует поддержанию нормальной микрофлоры кишечника.,1997-04-10,2006-01-02,New
109,Гатчинская,1911,444,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2012-02-01,2017-08-12,Out of Stock
110,Краснодарская,1721,733,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-01-01,2009-02-18,On Backorder
111,Огурец,9015,167,Овощи,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1997-01-10,2016-01-02,Out of Stock
112,Майонез,6550,712,Бакалея,Способствует улучшению работы пищеварительной системы.,2014-01-06,2029-01-18,Available for Pickup
113,Мускатный орех молотый,3868,908,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,1994-02-04,1998-12-15,Pending
114,Чеддер,901,305,Молочные продукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2014-01-06,2030-02-20,Awaiting Review
115,Копчености,7190,959,Мясо,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1994-02-14,2009-01-12,Available for Pickup
116,Манго,7567,174,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2003-03-06,2030-02-04,Pending
117,Кефир,6904,824,Молочные продукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2014-01-02,2028-10-02,Out of Stock
118,Мандарин,3755,661,Фрукты,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1991-04-12,2004-01-14,Refunded
119,Ананас,5386,910,Фрукты,Прошел сертификацию на соответствие требованиям органических стандартов.,2022-02-07,2027-01-22,On Backorder
120,Малина,356,482,Фрукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2015-07-04,2019-01-14,Refunded
121,Укроп,5690,979,Овощи,Помогает поддерживать нормальный уровень артериального давления.,1997-01-05,2007-02-12,Sold
122,Чабрец сушеный,7037,425,Бакалея,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2006-01-17,2027-09-04,Temporarily Unavailable
123,Нектарин,9666,743,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2006-08-01,2027-04-18,Sold
125,Рулька,6645,147,Мясо,Является важным компонентом сбалансированного рациона питания.,2019-02-16,2028-05-09,Out of Stock
126,Нектарин,3867,85,Фрукты,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",1998-01-08,2021-03-05,Returned
127,Sprite Zero,3507,154,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2006-02-02,2017-04-02,Pending
128,Каша из дробленной овсянки,2274,1000,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2007-01-15,2015-03-05,Sold
129,Чизбургеры,6358,661,Мясо,Помогает поддерживать оптимальный вес и форму тела.,1993-02-07,2006-08-06,New
130,Горох,1077,215,Овощи,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2008-01-11,2030-06-15,New
131,Глинтвейн,4391,441,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1996-05-14,2000-04-10,On Backorder
132,Полотенца банные,5233,599,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2019-01-02,2024-07-21,New
133,Клюква,985,648,Фрукты,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2000-02-17,2020-02-08,Delivered
134,Лук-порей,3967,586,Овощи,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1999-08-13,2008-02-09,Backorder
135,Фарш куриный,7058,266,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1997-06-01,2029-02-01,Delivered
136,Пакеты для заморозки,3869,237,Товары для дома,Может быть использован в выпечке для придания ей особой пышности и аромата.,2011-08-21,2021-05-25,Temporarily Unavailable
137,Адыгейский сыр,9835,651,Молочные продукты,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2002-01-03,2025-01-01,Awaiting Review
138,Сок апельсиновый,5286,434,Напитки,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2013-01-28,2021-10-09,New
139,Куриные грудки,7106,159,Мясо,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2010-06-17,2027-06-14,Sold
140,Блюдца,9242,134,Товары для дома,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2022-05-14,2023-01-26,Awaiting Payment
141,Пушкинская,2707,521,Напитки,Подходит для использования в качестве основы для смузи и коктейлей.,2009-02-01,2013-08-02,Available for Pickup
142,Пакеты для Дня благодарения,8665,869,Товары для дома,Может быть использован в качестве заменителя менее полезных продуктов.,2014-04-05,2026-04-19,Out of Stock
143,Бумажные полотенца,8710,416,Товары для дома,Прошел строгий контроль качества на всех этапах производства.,1996-03-03,2017-03-01,New
144,Ямс,9197,190,Овощи,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2013-01-21,2013-03-04,Pending
145,Пензенская,1005,588,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",1992-02-13,2007-02-07,Awaiting Review
146,Гранат,5973,344,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2021-03-09,2030-02-13,Returned
147,Грейпфрут,1922,875,Фрукты,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1990-08-02,2000-01-09,Temporarily Unavailable
148,Любисток сушеный,802,814,Бакалея,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2002-01-02,2003-02-03,Awaiting Payment
150,Голландский сыр,7285,533,Молочные продукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1994-10-03,2008-04-10,Refunded
151,Ряженка,4919,813,Молочные продукты,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2002-09-03,2028-07-12,Pending
152,Груша,1805,891,Фрукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2009-01-10,2022-02-05,Backorder
153,Кондиционер для белья,4347,96,Товары для дома,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1992-10-05,2016-09-03,Awaiting Review
154,Клубника,4003,944,Фрукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1990-06-02,2030-02-08,Refunded
155,Масло сливочное,7336,217,Молочные продукты,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1990-02-17,2029-08-06,Awaiting Payment
156,Пармезан,7173,169,Молочные продукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,2010-10-13,2014-01-01,Returned
157,Редис,7943,403,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2018-01-04,2030-03-03,Pending
158,Мороженое,2112,371,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2009-03-06,2028-06-01,Cancelled
159,Малина,1764,246,Фрукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1996-03-01,2006-01-01,Available for Pickup
160,Авокадо,5756,750,Фрукты,Отличается натуральным составом и отсутствием искусственных добавок.,2006-02-01,2016-03-21,Cancelled
161,Верблюжье молоко,9166,193,Молочные продукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1990-04-09,2029-01-08,On Backorder
162,Кесадилья с мясом,2296,565,Мясо,Подходит для использования в качестве замены традиционных молочных продуктов.,1990-03-15,2013-12-08,Available for Pickup
163,Ялтинская,9447,943,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-01-01,2020-05-02,Delivered
165,Балаковская,7686,439,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,1998-05-13,2013-02-06,Available for Pickup
166,Сорго,2451,760,Бакалея,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",1993-07-03,2028-01-15,On Backorder
167,Конфи,9661,552,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2021-03-09,2027-08-12,Refunded
168,Ямс,9841,451,Овощи,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2012-09-01,2019-03-03,Returned
169,Груша,8481,372,Фрукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1998-12-15,2020-01-04,Pending
170,Айва,6261,924,Фрукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2005-02-14,2014-02-22,Temporarily Unavailable
171,Фенхель,2410,598,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",2005-08-01,2018-05-03,Returned
172,Амурская,3512,528,Напитки,"Помогает улучшить состояние волос, ногтей и кожи.",1993-01-07,1999-02-11,Delivered
173,Ставропольская,5117,757,Напитки,Помогает поддерживать нормальный уровень pH в организме.,2005-02-07,2005-03-12,Sold
174,Парфюм,4377,785,Товары для дома,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2008-03-23,2022-01-03,Temporarily Unavailable
175,Электростальская,2960,53,Напитки,Помогает поддерживать нормальный уровень электролитов в организме.,2014-01-01,2027-01-01,In Stock
176,Каймак,5877,320,Молочные продукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2001-03-02,2027-01-13,Delivered
177,Эмменталь,4477,727,Молочные продукты,Широко используется в традиционной и современной кухне.,2007-01-06,2012-05-01,Available for Pickup
178,Банан,4700,763,Фрукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,1993-03-05,2008-05-02,Temporarily Unavailable
179,Пастернак,3791,771,Овощи,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2022-03-05,2028-05-08,Delivered
180,Кровянка,4469,27,Мясо,Отличается высокими показателями усвояемости организмом.,2012-02-02,2029-03-11,New
183,Ласси,5408,790,Молочные продукты,"Подходит для использования в диетах, направленных на снижение веса.",2012-01-18,2024-01-04,Backorder
